First Name,Surname,country,age,OVR,Bat OVR,IQ,Technique,Power,Running,Bowl OVR,WicketTaking,Econ,Accuracy,Cltch
Wanindu,Hasaranga de Silva,Sri Lanka,25,87,70,64,73,71,79,84,82,84,89,83
Jonny,Bairstow,England,32,86,86,89,85,84,83,25,28,16,34,39
Suryakumar,Yadav,India,31,86,85,89,85,84,77,47,45,53,43,35
Sandeep,Lamichhane,Nepal,22,86,37,36,37,35,49,85,82,85,96,90
Roelof,van der Merwe,Netherlands,37,86,74,75,74,75,68,79,75,77,94,93
Colin,de Grandhomme,New Zealand,36,86,82,79,82,86,75,65,61,62,81,75
Mitchell,Santner,New Zealand,30,86,73,70,73,75,73,80,75,81,93,87
David,Miller,South Africa,33,86,86,92,86,82,84,33,29,34,38,36
Wayne,Parnell,South Africa,33,86,71,69,71,72,76,81,77,77,96,95
Dwayne,Bravo,West Indies,38,86,76,84,72,74,61,78,76,74,93,92
Karim,Janat,Afghanistan,23,85,77,72,77,83,72,76,72,78,81,78
Mujeeb,Ur Rahman,Afghanistan,21,85,43,35,42,50,50,85,79,85,98,94
Aaron,Finch,Australia,35,85,85,90,83,82,79,41,40,42,44,41
Chris,Lynn,Australia,32,85,84,88,83,86,59,43,41,47,41,34
Ben,McDermott,Australia,27,85,85,89,85,84,73,25,28,16,35,39
David,Warner,Australia,35,85,85,90,85,82,73,30,28,29,36,37
Mustafizur,Rahman,Bangladesh,26,85,35,29,30,46,23,85,82,83,98,96
Tom,Curran,England,27,85,70,66,72,71,78,80,77,76,95,90
Luke,Wright,England,37,85,82,86,81,80,76,66,62,64,81,70
Jasprit,Bumrah,India,28,85,37,32,34,42,41,85,81,83,98,96
Virat,Kohli,India,33,85,84,93,86,77,79,45,41,48,52,46
Sanju,Samson,India,27,85,83,89,82,81,70,57,67,56,38,37
George,Dockrell,Ireland,30,85,69,64,70,72,74,80,76,79,93,87
David,Wiese,Namibia,37,85,77,77,77,80,60,76,74,71,93,92
Daryl,Mitchell,New Zealand,31,85,82,88,83,77,74,62,63,60,65,61
Faheem,Ashraf,Pakistan,28,85,70,59,71,80,75,80,76,78,94,89
Fakhar,Zaman,Pakistan,32,85,84,89,83,82,78,44,40,50,44,38
Hasan,Ali,Pakistan,28,85,62,45,65,74,66,82,79,80,96,91
Mohammad,Rizwan,Pakistan,30,85,85,95,87,74,84,43,48,41,38,33
Rilee,Rossouw,South Africa,32,85,84,89,83,82,77,47,49,50,40,36
Rassie,van der Dussen,South Africa,33,85,84,91,84,79,84,47,46,52,41,36
Carlos,Brathwaite,West Indies,34,85,74,67,73,84,50,79,75,74,95,93
Shimron,Hetmyer,West Indies,25,85,85,87,84,86,71,26,29,16,35,40
Jason,Holder,West Indies,30,85,71,63,69,80,63,80,75,78,96,92
Ashton,Agar,Australia,28,84,67,66,66,67,69,80,74,81,92,86
Adam,Zampa,Australia,30,84,38,35,38,39,42,84,80,81,97,95
Mahedi,Hasan,Bangladesh,27,84,71,65,70,78,68,79,73,81,89,84
Ravi,Bopara,England,37,84,75,86,74,66,65,77,73,73,94,92
Sam,Curran,England,24,84,75,70,76,80,70,77,73,75,89,84
Chris,Jordan,England,33,84,68,63,68,72,73,80,77,75,96,95
Samit,Patel,England,37,84,73,83,72,68,62,78,73,75,92,91
Ishan,Kishan,India,24,84,84,88,83,84,67,25,28,16,34,39
Krunal,Pandya,India,31,84,75,73,75,76,73,77,71,77,91,87
Rohit,Sharma,India,35,84,83,89,81,80,67,54,52,55,57,49
Gareth,Delany,Ireland,25,84,80,77,81,84,66,68,66,70,68,65
Tim,Seifert,New Zealand,27,84,83,86,82,84,72,25,29,16,35,40
Ish,Sodhi,New Zealand,29,84,47,38,46,56,48,83,79,80,98,95
Tim,Southee,New Zealand,33,84,62,47,63,73,65,81,78,77,96,95
Kane,Williamson,New Zealand,31,84,81,93,82,72,68,59,55,63,63,53
Ahmed,Shehzad,Pakistan,30,84,83,93,83,76,69,46,47,48,45,39
Shaheen,Shah Afridi,Pakistan,22,84,42,32,39,54,24,83,80,82,94,88
Shahid,Afridi,Pakistan,42,84,74,70,73,78,71,78,73,76,90,89
Sohail,Tanvir,Pakistan,37,84,68,68,65,71,58,79,75,77,94,93
Umar,Akmal,Pakistan,32,84,83,91,82,80,68,43,42,49,39,27
Wahab,Riaz,Pakistan,37,84,65,58,66,71,58,81,77,78,94,92
Aiden,Markram,South Africa,27,84,82,87,84,78,74,52,49,57,52,49
Dwaine,Pretorius,South Africa,33,84,77,73,76,81,77,75,71,72,89,84
Kagiso,Rabada,South Africa,27,84,51,43,51,58,55,83,80,81,97,92
Rahmanullah,Gurbaz,Afghanistan,20,83,83,77,84,90,66,30,29,26,37,38
Dan,Christian,Australia,39,83,76,79,74,75,74,74,71,69,91,90
Pat,Cummins,Australia,29,83,64,53,65,73,55,80,75,79,92,87
Moises,Henriques,Australia,35,83,77,85,77,70,77,72,68,69,88,81
Andrew,Tye,Australia,35,83,53,42,53,63,46,81,79,77,94,92
Afif,Hossain,Bangladesh,22,83,81,83,80,80,81,56,56,56,58,57
Abdul ,Hadi,Bangladesh,36,83,75,86,74,68,55,75,70,73,90,84
Dawid,Malan,England,34,83,81,91,81,76,70,53,50,55,55,49
Adil,Rashid,England,34,83,51,52,53,47,57,82,78,79,96,94
James,Vince,England,31,83,82,90,82,77,74,44,41,49,41,34
Ravichandran,Ashwin,India,35,83,58,54,59,62,60,81,76,80,95,94
Yuzvendra,Chahal,India,32,83,24,29,21,20,35,83,79,80,97,95
Bhuvneshwar,Kumar,India,32,83,43,43,43,41,59,83,78,81,97,95
Manish,Pandey,India,32,83,82,92,82,73,76,49,49,53,44,34
Harshal,Patel,India,31,83,65,51,67,77,61,79,76,77,92,88
Washington,Sundar,India,22,83,67,66,68,67,71,78,72,81,89,84
Mark,Adair,Ireland,26,83,64,55,64,71,64,79,77,81,83,79
Kevin,O'Brien,Ireland,38,83,77,80,75,77,75,72,69,70,84,75
Devon,Conway,New Zealand,31,83,82,91,85,74,70,41,39,45,41,35
Reeza,Hendricks,South Africa,32,83,82,92,84,73,78,44,43,47,41,35
Tabraiz,Shamsi,South Africa,32,83,25,29,22,23,40,83,78,81,96,93
JJ,Smuts,South Africa,33,83,76,82,75,73,64,74,68,75,87,81
Danushka,Gunathilaka,Sri Lanka,31,83,81,84,81,79,75,58,56,61,60,54
Seekkuge,Prasanna,Sri Lanka,37,83,71,61,72,80,68,77,72,77,91,87
Isuru,Udana,Sri Lanka,34,83,66,60,66,73,55,79,75,76,94,90
Mohammad,Shahzad,Afghanistan,35,82,82,85,81,82,74,25,28,16,34,38
Nathan,Coulter-Nile,Australia,34,82,58,46,58,69,59,79,75,78,92,87
Kane,Richardson,Australia,31,82,51,45,51,53,62,81,78,79,94,89
Steven,Smith,Australia,33,82,79,90,81,70,71,62,62,64,63,52
Mitchell,Starc,Australia,32,82,40,39,42,38,51,81,79,81,91,85
Litton,Das,Bangladesh,27,82,82,87,82,79,74,25,29,16,35,40
Sabbir,Rahman,Bangladesh,30,82,80,88,78,75,77,52,51,56,51,46
Sam,Billings,England,31,82,82,89,82,76,71,25,28,16,34,39
Tim,Bresnan,England,37,82,69,68,70,69,65,77,74,74,92,89
Eoin,Morgan,England,35,82,82,88,79,79,76,25,28,16,34,38
Bernard,Scholtz,Namibia,31,82,36,38,35,34,54,81,77,83,89,83
Colin,Ackermann,Netherlands,31,82,76,85,77,68,70,70,66,72,80,74
Mark,Chapman,New Zealand,28,82,81,83,82,79,82,53,52,56,52,47
Martin,Guptill,New Zealand,35,82,82,89,80,80,62,34,29,37,38,36
Adam,Milne,New Zealand,30,82,53,47,56,54,58,80,76,79,93,88
Tony,Ura,Papua New Guinea,32,82,81,81,82,83,62,44,45,48,40,35
Haris,Rauf,Pakistan,28,82,49,26,50,70,35,80,78,79,92,87
Hussain,Talat,Pakistan,26,82,79,88,81,72,70,61,60,60,65,61
Iftikhar,Ahmed,Pakistan,31,82,80,85,79,75,80,60,56,62,65,61
Mohammad,Hafeez,Pakistan,41,82,72,80,70,67,68,76,70,75,91,88
Sharjeel,Khan,Pakistan,32,82,81,80,80,86,65,33,29,34,38,36
Heinrich,Klaasen,South Africa,31,82,81,84,82,79,82,37,36,39,39,36
George,Linde,South Africa,30,82,68,64,70,70,69,78,73,78,88,83
Avishka,Fernando,Sri Lanka,24,82,82,80,81,85,74,25,29,16,35,40
Bhanuka,Rajapaksa,Sri Lanka,30,82,80,77,79,84,77,56,57,59,51,43
Johnson,Charles,West Indies,33,82,81,86,78,81,60,46,53,44,39,35
Rovman,Powell,West Indies,29,82,81,79,80,88,56,51,50,51,55,49
Sikandar,Raza,Zimbabwe,36,82,77,79,76,75,76,69,64,71,79,74
Travis,Head,Australia,28,81,80,83,80,77,76,52,52,53,52,52
Matthew,Wade,Australia,34,81,80,85,81,77,73,25,28,16,34,39
Mohammad,Saifuddin,Bangladesh,25,81,56,50,57,62,55,79,77,80,85,81
Soumya,Sarkar,Bangladesh,29,81,79,83,76,78,73,58,57,58,65,59
Tamim,Iqbal,Bangladesh,33,81,81,92,80,74,69,34,29,38,38,36
Lewis,Gregory,England,30,81,73,70,74,74,70,74,71,70,88,83
Deepak,Chahar,India,29,81,54,39,53,66,57,79,75,79,91,85
Piyush,Chawla,India,33,81,61,56,61,66,67,78,74,76,92,91
Deepak,Hooda,India,27,81,79,80,79,79,79,53,48,57,59,54
Dinesh,Karthik,India,37,81,79,86,78,76,65,52,54,57,40,32
Kuldeep,Yadav,India,27,81,43,48,43,37,55,81,77,80,91,85
Jaydev,Unadkat,India,30,81,55,46,56,63,48,79,75,76,92,88
Andy,Balbirnie,Ireland,31,81,81,84,82,78,80,25,28,16,34,39
Rakep,Patel,Kenya,33,81,78,75,78,82,67,60,60,62,55,51
Finn,Allen,New Zealand,23,81,81,75,83,85,79,34,29,38,38,36
Trent,Boult,New Zealand,33,81,38,35,37,38,52,80,76,78,95,91
Khushdil,Shah,Pakistan,27,81,79,79,78,80,75,55,54,59,53,48
Shoaib,Malik,Pakistan,40,81,74,84,76,66,61,73,67,70,91,86
Bjorn,Fortuin,South Africa,27,81,48,42,50,48,59,79,75,82,85,80
Angelo,Mathews,Sri Lanka,35,81,74,82,75,68,66,73,67,73,87,80
Kusal,Mendis,Sri Lanka,27,81,81,82,82,82,60,26,29,17,35,39
Sheldon,Cottrell,West Indies,32,81,47,30,46,63,48,80,77,79,91,86
Chris,Gayle,West Indies,42,81,77,80,74,79,53,65,60,64,81,69
Asghar,Afghan,Afghanistan,34,80,79,83,76,79,77,44,50,41,38,37
Ben,Cutting,Australia,35,80,74,69,73,78,72,70,67,66,87,82
Mashrafe,Mortaza,Bangladesh,38,80,60,49,59,71,58,77,72,76,92,88
Rubel,Hossain,Bangladesh,32,80,37,30,35,43,50,80,77,78,93,88
Tom,Banton,England,23,80,80,75,81,85,69,25,28,16,34,39
Danny,Briggs,England,31,80,42,36,44,43,54,79,75,77,93,90
Liam,Dawson,England,32,80,65,72,65,58,75,76,71,75,91,87
Benny,Howell,England,33,80,67,69,68,66,67,75,71,74,87,82
Tymal,Mills,England,29,80,37,27,34,49,35,79,76,77,94,89
Chris,Woakes,England,33,80,64,61,66,65,60,76,73,75,88,83
Shikhar,Dhawan,India,36,80,79,89,79,71,73,45,49,44,39,35
Ruturaj,Gaikwad,India,25,80,80,84,81,77,70,25,28,16,34,38
Shardul,Thakur,India,30,80,51,40,51,58,54,79,76,76,93,88
JJ,Smit,Namibia,26,80,73,67,73,77,72,72,68,76,74,69
Dipendra,Singh Airee,Nepal,22,80,78,82,80,72,80,57,55,65,51,46
Tom,Bruce,New Zealand,31,80,79,78,80,80,70,43,43,45,42,38
Lockie,Ferguson,New Zealand,31,80,51,39,51,61,58,78,74,78,88,83
Scott,Kuggeleijn,New Zealand,30,80,62,57,64,64,64,76,73,74,90,85
Anwar,Ali,Pakistan,34,80,68,61,69,72,73,75,71,73,91,87
Haider,Ali,Pakistan,21,80,80,77,80,83,67,25,28,16,35,40
Sohaib,Maqsood,Pakistan,35,80,79,83,78,80,52,44,41,50,44,37
Richie,Berrington,Scotland,35,80,77,82,78,71,72,59,57,61,60,58
Richard,Levi,South Africa,34,80,80,82,79,82,60,24,27,15,33,38
Lungi,Ngidi,South Africa,26,80,22,26,19,19,34,79,79,79,84,80
Akila,Dananjaya,Sri Lanka,28,80,39,37,39,39,55,80,76,81,87,81
Kusal,Perera,Sri Lanka,31,80,80,83,80,80,64,25,28,16,34,39
Rohan,Mustafa,United Arab Emirates,33,80,68,70,69,64,73,75,71,78,76,73
Ravi,Rampaul,West Indies,37,80,40,34,39,45,42,79,76,77,92,89
Ryan,Burl,Zimbabwe,28,80,75,78,75,73,73,65,63,68,64,61
Gulbadin,Naib,Afghanistan,31,79,73,69,73,77,61,68,66,69,74,70
Abdul ,Hadi,Afghanistan,22,79,40,35,39,43,50,79,76,78,88,83
Qais,Ahmad,Afghanistan,21,79,52,40,51,63,46,78,73,78,88,83
Samiullah,Shinwari,Afghanistan,34,79,74,77,73,72,68,68,63,71,74,67
Usman,Ghani,Afghanistan,25,79,79,86,80,73,77,31,30,29,37,37
Alex,Carey,Australia,30,79,79,84,81,74,70,25,28,16,35,39
Josh,Hazlewood,Australia,31,79,41,39,41,41,43,79,76,80,85,79
Mosaddek,Hossain,Bangladesh,26,79,73,79,74,68,77,67,63,70,71,68
Mushfiqur,Rahim,Bangladesh,35,79,79,88,79,71,76,25,28,16,34,38
Taskin,Ahmed,Bangladesh,27,79,39,33,36,45,49,78,75,77,89,84
Harry,Brook,England,23,79,79,79,80,77,77,38,44,33,36,35
Steven,Finn,England,33,79,33,32,33,31,47,78,76,76,91,86
Joe,Root,England,31,79,77,85,81,68,72,53,52,54,53,53
Phil,Salt,England,25,79,79,78,80,81,70,24,27,15,33,38
Reece,Topley,England,28,79,36,33,34,39,45,79,76,77,90,84
Nitish,Rana,India,28,79,77,78,75,79,66,54,53,57,54,49
Simi,Singh,Ireland,35,79,67,66,69,67,62,74,71,76,79,76
Harry,Tector,Ireland,22,79,78,79,80,74,79,51,50,55,48,42
Doug,Bracewell,New Zealand,31,79,70,66,71,73,64,72,70,72,77,75
Junaid,Khan,Pakistan,32,79,32,27,30,40,19,79,75,77,92,88
Usman,Shinwari,Pakistan,28,79,48,37,47,61,35,77,74,77,86,81
Keshav,Maharaj,South Africa,32,79,56,51,56,58,61,77,70,80,89,83
Dinesh,Chandimal,Sri Lanka,32,79,79,90,80,71,66,25,28,16,34,39
Dilshan,Munaweera,Sri Lanka,33,79,74,74,72,76,66,68,62,71,75,68
Andre,Fletcher,West Indies,34,79,78,89,76,76,40,42,42,44,39,35
Lendl,Simmons,West Indies,37,79,78,87,74,75,66,49,50,49,49,43
Tendai,Chatara,Zimbabwe,31,79,34,34,33,33,54,79,74,80,87,82
Josh,Philippe,Australia,25,78,78,81,80,75,79,25,28,16,34,38
Jhye,Richardson,Australia,25,78,54,50,55,58,51,76,74,77,82,77
Daniel,Sams,Australia,29,78,64,52,65,72,60,74,71,73,82,78
Ashton,Turner,Australia,29,78,77,77,78,77,68,53,54,55,51,48
Mohammad,Mithun,Bangladesh,31,78,75,81,74,70,76,58,65,61,40,35
Nurul,Hasan,Bangladesh,28,78,78,79,78,76,82,25,28,16,35,40
Josh,Cobb,England,31,78,72,75,72,74,52,66,62,65,77,72
Mohammed,Shami,India,31,78,35,29,35,40,43,78,74,76,91,86
Ajinkya,Rahane,India,34,78,76,87,76,66,66,57,64,60,40,35
Jade,Dernbach,Italy,36,78,39,32,40,45,42,77,74,74,93,89
Shem,Ngoche,Kenya,33,78,46,43,48,47,43,77,73,79,82,78
Gerhard,Erasmus,Namibia,27,78,75,76,74,73,76,58,56,64,54,46
Tom,Latham,New Zealand,30,78,78,81,79,75,74,25,28,16,34,39
Hamish,Rutherford,New Zealand,33,78,77,77,76,80,60,39,37,44,39,33
Calum,MacLeod,Scotland,33,78,77,87,79,69,72,45,41,51,45,39
George,Munsey,Scotland,29,78,78,72,80,85,55,25,28,16,35,39
Mark,Watt,Scotland,26,78,48,41,50,50,58,77,72,79,82,78
Farhaan,Behardien,South Africa,38,78,77,84,78,70,80,40,40,41,40,36
Anrich,Nortje,South Africa,28,78,35,32,35,38,41,77,74,79,82,77
Andile,Phehlukwayo,South Africa,26,78,60,53,61,66,58,75,72,73,83,80
Dushmantha,Chameera,Sri Lanka,30,78,43,34,41,50,54,77,72,77,88,83
Darren,Bravo,West Indies,33,78,78,87,76,76,56,25,28,16,34,39
Brandon,King,West Indies,27,78,77,76,77,82,56,25,28,16,35,39
Sean,Williams,Zimbabwe,35,78,70,76,73,64,56,71,66,74,76,75
Sean,Abbott,Australia,30,77,50,46,50,54,54,75,74,73,84,80
Chris,Green,Australia,28,77,58,54,61,58,65,74,69,74,88,84
Josh,Inglis,Australia,27,77,77,77,79,77,73,24,27,16,33,38
Mehidy,Hasan Miraz,Bangladesh,24,77,63,63,63,64,54,73,68,75,83,79
Mohammad,Naim,Bangladesh,22,77,77,86,76,71,70,26,29,16,35,40
Joe,Clarke,England,26,77,77,76,78,80,64,24,27,15,32,37
Will,Jacks,England,23,77,76,72,76,79,69,52,50,56,51,48
Tom,Kohler-Cadmore,England,27,77,77,79,76,76,70,24,27,15,32,37
Khaleel,Ahmed,India,24,77,17,20,13,17,26,77,74,77,83,78
Venkatesh,Iyer,India,27,77,74,77,75,73,54,61,58,64,59,57
Sandeep,Sharma,India,29,77,33,35,35,29,41,76,72,76,90,85
Robin,Uthappa,India,36,77,77,83,75,74,69,31,28,31,36,34
Josh,Little,Ireland,22,77,43,42,43,44,51,76,73,79,79,75
Craig,Young,Ireland,32,77,36,32,35,38,42,77,75,77,82,78
Jan,Frylinck,Namibia,28,77,55,58,57,50,64,74,73,76,73,71
Craig,Williams,Namibia,38,77,73,78,73,71,61,60,58,63,61,54
Tom,Cooper,Netherlands,35,77,75,77,75,73,75,52,50,55,53,48
Max,O'Dowd,Netherlands,28,77,76,81,78,70,78,41,40,43,41,40
Ryan,ten Doeschate,Netherlands,42,77,71,79,71,66,65,66,63,64,81,70
Logan,van Beek,Netherlands,31,77,54,47,57,58,53,75,72,73,87,83
Michael,Rippon,New Zealand,30,77,59,63,62,52,71,74,69,75,80,77
Mohammad,Irfan,Pakistan,40,77,25,18,17,37,20,77,71,78,89,84
Rumman,Raees,Pakistan,30,77,43,35,43,49,48,76,72,77,87,81
Sarfaraz,Ahmed,Pakistan,35,77,77,86,79,68,75,33,28,35,37,36
Umar,Amin,Pakistan,32,77,75,82,75,70,72,51,49,56,50,42
Safyaan,Sharif,Scotland,31,77,51,47,53,50,61,75,73,77,80,77
Temba,Bavuma,South Africa,32,77,77,85,79,68,74,25,28,16,34,39
Cameron,Delport,South Africa,33,77,74,77,72,74,60,62,59,61,72,64
Janneman,Malan,South Africa,26,77,77,79,78,77,59,25,28,16,34,38
Aaron,Phangiso,South Africa,38,77,37,32,35,42,42,77,71,77,89,85
Dhananjaya,de Silva,Sri Lanka,30,77,74,77,76,70,75,58,55,61,58,56
Niroshan,Dickwella,Sri Lanka,29,77,76,73,79,78,77,25,28,16,34,39
Maheesh,Theekshana,Sri Lanka,22,77,39,30,37,45,51,77,72,82,78,73
Kesrick,Williams,West Indies,32,77,31,29,27,35,34,77,76,75,87,82
Dawlat,Zadran,Afghanistan,34,76,55,40,58,65,57,74,72,75,76,73
Jason,Behrendorff,Australia,32,76,42,38,43,45,48,76,72,76,85,79
Razmal,Shigiwal,Austria,23,76,75,76,77,74,66,46,44,53,42,34
Anamul,Haque,Bangladesh,29,76,76,83,75,75,54,25,28,16,34,39
Arafat,Sunny,Bangladesh,35,76,35,34,34,34,40,76,71,76,86,81
Nasum,Ahmed,Bangladesh,27,76,36,32,34,40,48,76,70,80,81,77
Shafiul,Islam,Bangladesh,32,76,37,34,36,40,32,76,72,75,86,82
Joe,Denly,England,36,76,73,83,72,67,58,57,56,59,61,52
Ben,Duckett,England,27,76,76,81,77,71,76,24,27,15,33,37
Matt,Parkinson,England,25,76,28,22,28,34,36,76,75,77,80,76
Aizaz,Khan,Hong Kong,29,76,51,54,53,45,57,74,71,77,74,73
Rahul,Chahar,India,23,76,40,34,41,45,44,76,72,77,82,77
Rishi,Dhawan,India,32,76,63,70,65,56,50,71,67,72,80,76
MS,Dhoni,India,41,76,76,82,76,71,73,31,28,33,35,31
Devdutt,Padikkal,India,22,76,76,79,77,75,60,24,27,15,33,37
Umesh,Yadav,India,34,76,45,31,45,59,43,75,71,73,90,86
Andy,McBrine,Ireland,29,76,63,61,64,65,57,71,69,74,69,67
William,Porterfield,Ireland,37,76,76,84,75,70,73,24,27,16,33,38
Fred,Klaassen,Netherlands,29,76,36,35,40,33,44,75,73,75,83,79
Michael,Bracewell,New Zealand,31,76,74,77,75,72,71,52,53,54,46,39
Norman,Vanua,Papua New Guinea,28,76,68,60,68,74,71,70,69,73,66,65
Kamran,Akmal,Pakistan,40,76,76,81,74,75,62,24,27,15,33,37
Mohammad,Hasnain,Pakistan,22,76,28,21,23,37,32,76,73,77,83,78
Beuran,Hendricks,South Africa,32,76,27,27,26,28,36,76,74,76,84,79
Sisanda,Magala,South Africa,31,76,55,50,56,61,48,74,70,73,84,79
Charith,Asalanka,Sri Lanka,25,76,74,76,75,73,67,55,54,59,50,45
Dinesh,Nakrani,Uganda,30,76,66,62,67,73,36,70,69,75,63,61
Fabian,Allen,West Indies,27,76,70,59,70,78,68,67,63,70,70,69
Akeal,Hosein,West Indies,29,76,54,48,53,61,43,73,68,79,77,72
Wessly,Madhevere,Zimbabwe,21,76,72,75,76,66,65,62,60,66,59,60
Amir,Hamza,Afghanistan,30,75,44,41,44,45,58,74,69,79,76,73
Shapoor,Zadran,Afghanistan,35,75,32,23,23,49,22,75,72,77,80,77
Ben,Dwarshuis,Australia,28,75,52,47,53,54,59,73,70,72,81,77
Farhad,Reza,Bangladesh,36,75,56,48,55,62,61,72,68,70,85,81
Shoriful,Islam,Bangladesh,21,75,40,23,37,60,19,75,73,75,79,76
Saber,Zakhil,Belgium,25,75,72,66,74,76,71,56,55,63,49,45
Daniel,Bell-Drummond,England,29,75,74,79,75,69,73,38,39,38,38,36
James,Fuller,England,32,75,64,60,65,66,66,70,68,68,79,73
Sam,Hain,England,27,75,75,81,77,67,74,24,27,15,32,37
Tom,Smith,England,34,75,42,44,46,35,58,74,70,73,86,82
Chris,Wood,England,32,75,43,39,44,43,51,74,70,71,88,84
Avesh,Khan,India,25,75,43,24,40,63,46,75,72,76,79,75
Shivam,Dube,India,29,75,72,68,72,76,63,57,56,58,59,60
Siddarth,Kaul,India,32,75,30,31,32,27,38,75,71,75,86,81
Mandeep,Singh,India,30,75,73,79,74,69,66,49,48,53,46,40
Mohammed,Siraj,India,28,75,33,30,32,38,32,74,71,74,84,79
Karn,Sharma,India,34,75,60,58,60,63,52,72,67,71,84,79
Prithvi,Shaw,India,22,75,74,70,75,78,68,24,27,15,33,37
Kushal,Bhurtel,Nepal,25,75,71,75,72,67,60,62,67,67,49,37
Ben,Cooper,Netherlands,30,75,75,78,77,74,57,25,28,16,35,39
Pieter,Seelaar,Netherlands,35,75,55,57,57,51,68,72,67,75,77,74
Paul,van Meekeren,Netherlands,29,75,42,31,39,53,50,74,71,76,80,77
Matt,Henry,New Zealand,30,75,57,43,60,67,58,72,69,72,82,78
Josh,Davey,Scotland,32,75,57,52,60,58,57,72,72,71,74,71
Simon,Harmer,South Africa,33,75,55,52,57,56,54,72,67,72,85,80
Hardus,Viljoen,South Africa,33,75,54,46,54,59,59,73,69,72,85,80
Milinda,Siriwardana,Sri Lanka,36,75,71,67,72,73,74,62,60,62,65,63
Upul,Tharanga,Sri Lanka,37,75,75,81,75,73,59,24,27,15,33,38
Riazat,Ali Shah,Uganda,24,75,71,74,72,70,63,59,59,63,54,54
Chamu,Chibhabha,Zimbabwe,35,75,72,79,72,66,63,61,59,61,64,61
Wellington,Masakadza,Zimbabwe,28,75,45,43,48,41,53,74,70,77,75,74
Hashmatullah,Shahidi,Afghanistan,27,74,71,77,72,64,71,56,58,63,43,32
Zahir,Khan,Afghanistan,23,74,33,24,30,42,39,74,70,76,81,75
Cameron,Boyce,Australia,33,74,47,35,46,56,50,73,70,74,80,75
Shaun,Marsh,Australia,39,74,73,81,74,68,57,34,27,41,37,34
Steve,O'Keefe,Australia,37,74,46,43,47,46,56,72,67,74,81,76
Najmul,Hossain Shanto,Bangladesh,23,74,73,77,73,71,68,45,43,48,42,38
Sohag,Gazi,Bangladesh,30,74,46,42,46,49,44,73,67,74,83,79
Kevin,D'Souza,Bulgaria,23,74,73,67,74,78,69,46,42,53,43,38
Adam,Hose,England,29,74,74,74,75,75,60,23,26,15,32,37
